ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10664905,HZ415668,09/01/2016 01:20:00 AM,028XX S PULASKI RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,false,true,1031,010,22,30,08B,1150170,1884913,2016,09/08/2016 03:48:43 PM,41.840106225,-87.724436322,"(41.840106225, -87.724436322)"
10664941,HZ415653,09/01/2016 01:30:00 AM,002XX W 37TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0915,009,3,34,08B,1175106,1880093,2016,09/08/2016 03:48:43 PM,41.8263582,-87.633075967,"(41.8263582, -87.633075967)"
10664906,HZ415648,09/01/2016 01:30:00 AM,077XX S ESSEX AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0421,004,7,43,08B,1194203,1854148,2016,09/08/2016 03:48:43 PM,41.754715048,-87.563866151,"(41.754715048, -87.563866151)"
10664899,HZ415636,09/01/2016 01:30:00 AM,044XX W FULTON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1113,011,28,26,08B,1146702,1901380,2016,09/08/2016 03:48:43 PM,41.885360495,-87.736742682,"(41.885360495, -87.736742682)"
10664889,HZ415650,09/01/2016 01:30:00 AM,001XX W 63RD ST,1310,CRIMINAL DAMAGE,TO PROPERTY,GAS STATION,false,false,0311,003,20,68,14,1176275,1863208,2016,09/08/2016 03:48:43 PM,41.77999793,-87.629294594,"(41.77999793, -87.629294594)"
10664878,HZ415638,09/01/2016 01:30:00 AM,009XX E 104TH ST,1330,CRIMINAL TRESPASS,TO LAND,APARTMENT,false,false,0512,005,9,50,26,1184238,1836191,2016,09/08/2016 03:48:43 PM,41.705677782,-87.600944364,"(41.705677782, -87.600944364)"
10664860,HZ415647,09/01/2016 01:30:00 AM,032XX W 57TH ST,0820,THEFT,$500 AND UNDER,RESIDENCE,false,true,0822,008,14,63,06,1155547,1866640,2016,09/08/2016 03:48:43 PM,41.789856409,-87.70519496,"(41.789856409, -87.70519496)"
10666250,HZ415645,09/01/2016 01:31:00 AM,087XX S ASHLAND AVE,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESTAURANT,false,false,2221,022,21,71,04A,1167195,1846826,2016,09/08/2016 03:48:43 PM,41.73524267,-87.663051117,"(41.73524267, -87.663051117)"
10664943,HZ415669,09/01/2016 01:40:00 AM,044XX N MAGNOLIA AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,CHA PARKING LOT/GROUNDS,true,false,1913,019,46,3,24,1167111,1929700,2016,09/08/2016 03:48:43 PM,41.962658354,-87.660981712,"(41.962658354, -87.660981712)"
10666147,HZ415663,09/01/2016 01:45:00 AM,050XX W SCHOOL ST,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,1634,016,38,15,03,1142272,1921473,2016,09/08/2016 03:48:43 PM,41.940581234,-87.752510974,"(41.940581234, -87.752510974)"
