tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
262,6/1/2016 00:14:03,6/1/2016 00:18:26,325,E 19 St & 3 Ave,40.73624527,-73.98473765,487,E 20 St & FDR Drive,40.73314259,-73.97573881,15938,Subscriber,1986,1
717,6/1/2016 00:14:05,6/1/2016 00:26:02,494,W 26 St & 8 Ave,40.74734825,-73.99723551,3224,W 13 St & Hudson St,40.73997354103409,-74.00513872504234,23112,Subscriber,,0
613,6/1/2016 00:14:12,6/1/2016 00:24:25,164,E 47 St & 2 Ave,40.75323098,-73.97032517,297,E 15 St & 3 Ave,40.734232,-73.986923,20784,Subscriber,1992,2
693,6/1/2016 00:14:29,6/1/2016 00:26:02,494,W 26 St & 8 Ave,40.74734825,-73.99723551,3224,W 13 St & Hudson St,40.73997354103409,-74.00513872504234,19558,Subscriber,,0
480,6/1/2016 00:14:40,6/1/2016 00:22:41,285,Broadway & E 14 St,40.73454567,-73.99074142,445,E 10 St & Avenue A,40.72740794,-73.98142006,23323,Subscriber,1990,1
621,6/1/2016 00:14:44,6/1/2016 00:25:06,480,W 53 St & 10 Ave,40.76669671,-73.99061728,490,8 Ave & W 33 St,40.751551,-73.993934,24802,Subscriber,1976,1
682,6/1/2016 00:14:46,6/1/2016 00:26:08,334,W 20 St & 7 Ave,40.74238787,-73.99726235,487,E 20 St & FDR Drive,40.73314259,-73.97573881,15457,Subscriber,1974,2
1221,6/1/2016 00:14:55,6/1/2016 00:35:16,308,St James Pl & Oliver St,40.71307916,-73.99851193,435,W 21 St & 6 Ave,40.74173969,-73.99415556,24948,Subscriber,1997,1
580,6/1/2016 00:15:06,6/1/2016 00:24:46,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,3255,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,25063,Subscriber,1974,1
469,6/1/2016 00:15:17,6/1/2016 00:23:06,482,W 15 St & 7 Ave,40.73935542,-73.99931783,297,E 15 St & 3 Ave,40.734232,-73.986923,18337,Subscriber,1956,1
1416,6/1/2016 00:15:26,6/1/2016 00:39:02,3135,E 75 St & 3 Ave,40.77112927,-73.95772297,477,W 41 St & 8 Ave,40.75640548,-73.9900262,24873,Subscriber,1976,1
